city,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
Yellowknife,90,CA,1551224572,73,62.45,-114.38,19.4,6.93
Ust-Nera,24,RU,1551224970,75,64.57,143.24,-40.17,2.08
Buraydah,75,SA,1551222000,68,26.33,43.97,66.2,5.82
Atar,0,MR,1551224879,19,20.52,-13.05,62.93,12.86
Jamestown,0,AU,1551224952,70,-33.21,138.6,77.01,7.23
Cape Town,0,ZA,1551224852,82,-33.93,18.42,61.0,2.24
Ahipara,0,NZ,1551224980,65,-35.17,173.16,72.06,8.23
Vila Velha,0,BR,1551224900,78,-3.71,-38.6,82.4,4.7
Bonavista,88,CA,1551224984,94,48.65,-53.11,25.4,31.43
Inuvik,75,CA,1551222000,62,68.36,-133.71,21.2,2.24
Zhigansk,76,RU,1551224986,73,66.77,123.37,-3.05,6.55
Hithadhoo,36,MV,1551224988,100,-0.6,73.08,81.83,12.26
Alta Floresta,48,BR,1551224989,95,-9.87,-56.08,73.01,1.45
Airai,0,TL,1551224990,82,-8.93,125.41,75.89,1.86
Xuddur,0,SO,1551224991,53,4.12,43.89,71.79,11.03
Talnakh,48,RU,1551224872,68,69.49,88.39,-10.43,2.98
Provideniya,40,RU,1551222000,91,64.42,-173.23,32.0,20.13
Bambous Virieux,75,MU,1551222000,83,-20.34,57.76,82.4,16.11
Victoria,75,BN,1551222000,78,5.28,115.24,78.8,11.41
Lompoc,1,US,1551224987,58,34.64,-120.46,60.01,12.41
Leningradskiy,0,RU,1551224651,83,69.38,178.42,14.28,20.92
Valparaiso,1,US,1551224743,57,41.47,-87.06,26.6,11.41
Sobolevo,68,RU,1551225002,83,54.43,31.9,27.11,13.6
Saint-Philippe,1,CA,1551224408,50,45.36,-73.48,8.01,13.87
Hualmay,0,PE,1551225005,72,-11.1,-77.61,73.82,5.03
Dunedin,8,NZ,1551224981,71,-45.87,170.5,55.0,8.01
Oussouye,0,SN,1551222000,60,12.49,-16.54,73.4,9.17
Plettenberg Bay,76,ZA,1551225008,99,-34.05,23.37,63.06,17.85
Qaanaaq,20,GL,1551225010,81,77.48,-69.36,-13.62,6.22
Urucara,44,BR,1551224750,93,-2.54,-57.76,76.29,3.36
Saint-Augustin,0,FR,1551224529,71,44.83,-0.61,51.8,6.93
Katsuura,75,JP,1551224539,75,33.93,134.5,46.0,5.82
Iisalmi,0,FI,1551223200,92,63.56,27.19,30.2,9.17
Sitka,8,US,1551225016,64,37.17,-99.65,34.71,6.38
Banda Aceh,24,ID,1551225018,97,5.56,95.32,74.09,2.86
Storsteinnes,92,NO,1551224914,90,69.24,19.23,39.2,33.33
Bemidji,75,US,1551224919,71,47.48,-94.89,6.01,3.36
Lebedinyy,56,RU,1551225023,70,58.52,125.52,11.58,5.32
Ixtapa,5,MX,1551225006,69,20.71,-105.21,77.0,11.41
New Norfolk,20,AU,1551225015,50,-42.78,147.06,63.0,8.05
Roxana,5,US,1551225007,57,38.85,-90.08,52.0,9.17
Hobart,20,AU,1551224895,50,-42.88,147.33,63.0,8.05
Jacksonville,90,US,1551224921,64,30.33,-81.66,69.8,4.7
Georgetown,20,GY,1551222000,78,6.8,-58.16,78.8,9.17
Dikson,36,RU,1551225033,82,73.51,80.55,-5.79,28.41
Hilo,40,US,1551221580,60,19.71,-155.08,75.2,10.29
San Policarpo,80,PH,1551225035,92,12.18,125.51,76.74,10.02
Thompson,75,CA,1551222000,65,55.74,-97.86,8.6,11.41
Bluff,0,AU,1551224724,42,-23.58,149.07,82.1,11.25
Saint-Pierre,0,FR,1551224854,75,48.95,4.24,44.6,9.17
Faya,0,SA,1551222000,82,18.39,42.45,62.6,4.7
Malia,20,GR,1551224965,76,35.28,25.46,51.01,4.7
Bialystok,76,PL,1551224873,79,53.13,23.15,37.99,10.85
Barrow,8,AR,1551225046,73,-38.31,-60.23,51.18,2.86
Coquimbo,40,CL,1551222000,82,-29.95,-71.34,62.6,8.05
Phuket,20,TH,1551224953,78,7.89,98.4,81.0,3.36
Petropavlovsk-Kamchatskiy,56,RU,1551222000,56,53.05,158.65,12.2,13.42
Port Alfred,12,ZA,1551224521,71,-33.59,26.89,64.99,5.99
Udachnyy,76,RU,1551225055,72,66.42,112.4,9.33,4.76
Talara,32,PE,1551225057,68,-4.58,-81.27,80.66,7.38
East London,88,ZA,1551224744,100,-33.02,27.91,70.13,23.82
Mama,40,MX,1551221460,28,20.48,-89.36,93.2,11.41
Gladstone,90,AU,1551224538,65,-23.84,151.26,78.01,6.93
Vostok,0,RU,1551225062,51,46.45,135.83,17.43,3.58
Alofi,75,NU,1551222000,79,-19.06,-169.92,86.0,17.22
Khatanga,88,RU,1551225067,65,71.98,102.47,-0.8,5.59
Jasper,40,US,1551225051,36,33.83,-87.28,66.2,1.3
Kieta,0,PG,1551225070,94,-6.22,155.63,83.63,2.68
Puerto Ayora,20,EC,1551222000,66,-0.74,-90.35,86.0,11.41
Troitskoye,92,RU,1551225074,91,52.98,84.68,30.39,7.9
Torbay,90,CA,1551224911,85,47.66,-52.73,24.01,33.33
Port Hardy,5,CA,1551222000,25,50.7,-127.42,41.0,18.34
Antofagasta,20,CL,1551222000,77,-23.65,-70.4,69.8,10.29
Khilok,0,RU,1551225080,56,51.36,110.46,3.98,2.57
Portland,75,US,1551224624,34,45.52,-122.67,37.4,31.09
Herrin,1,US,1551224100,57,37.8,-89.03,55.4,6.93
Cidreira,80,BR,1551225083,91,-30.17,-50.22,66.98,1.45
Butaritari,88,KI,1551225085,100,3.07,172.79,81.69,16.62
Tuktoyaktuk,75,CA,1551222000,84,69.44,-133.03,5.0,5.82
Bharuch,0,IN,1551225087,86,21.71,73.0,63.2,7.11
Kingaroy,40,AU,1551225015,50,-26.54,151.84,82.0,11.41
Merke,8,KZ,1551225091,53,42.87,73.19,-2.06,1.68
Tilichiki,80,RU,1551225092,81,60.47,166.1,13.79,12.41
Klaksvik,0,FO,1551223200,81,62.23,-6.59,46.4,11.41
Shwebo,92,MM,1551225094,77,22.57,95.7,67.34,8.61
Fallon,40,US,1551221760,64,46.84,-105.12,-0.41,12.75
Coihaique,0,CL,1551222000,51,-45.58,-72.07,62.6,4.7
Tucumcari,1,US,1551221580,11,35.17,-103.73,73.4,21.92
Bredasdorp,68,ZA,1551222000,76,-34.53,20.04,55.4,4.7
Saskylakh,0,RU,1551225101,43,71.97,114.09,-28.29,6.33
Nikolskoye,40,RU,1551223806,92,59.7,30.79,24.01,2.24
Chuy,0,UY,1551224946,80,-33.69,-53.46,60.5,10.85
Pangoa,92,PE,1551225104,100,-12.12,-73.0,67.11,1.07
Woodward,1,US,1551224100,40,36.43,-99.39,42.8,8.05
Avarua,0,CK,1551222000,66,-21.21,-159.78,84.2,16.11
Sovetskiy,88,RU,1551225111,95,56.76,48.47,22.7,3.2
Cayenne,92,GF,1551223800,78,4.94,-52.33,78.8,4.7
Longyearbyen,75,NO,1551221400,72,78.22,15.63,10.4,2.24
Flinders,40,AU,1551225012,64,-34.58,150.85,78.01,10.29
Ocos,40,GT,1551222000,62,14.51,-92.19,86.0,9.17
Kampot,20,KH,1551222000,74,10.62,104.18,78.8,10.29
Lorengau,64,PG,1551224426,100,-2.02,147.27,80.34,6.38
Gweta,32,BW,1551225121,65,-20.21,25.26,71.75,11.25
Hermanus,56,ZA,1551225122,88,-34.42,19.24,51.36,2.98
Husavik,48,CA,1551225004,67,50.56,-96.99,3.0,7.0
Podgornoye,68,RU,1551225125,83,57.79,82.64,14.19,2.53
Bahia Blanca,20,AR,1551225126,68,-38.72,-62.27,65.76,13.6
Luderitz,0,NA,1551225127,74,-26.65,15.16,64.86,18.07
Pueblo,1,US,1551224705,14,38.25,-104.61,68.0,19.46
San Patricio,0,PY,1551224976,70,-26.98,-56.83,70.44,6.71
Pocatello,90,US,1551224703,52,42.87,-112.44,46.4,20.8
Praya,40,ID,1551223800,88,-8.71,116.27,80.6,2.24
Oranjestad,20,AW,1551222000,74,12.52,-70.03,78.8,19.46
Padang,92,ID,1551222000,100,-0.92,100.36,77.0,10.29
Chara,75,GR,1551221400,65,39.42,22.43,44.6,4.7
Lagoa,0,PT,1551225130,77,37.14,-8.45,60.01,10.29
Xining,80,CN,1551224957,92,36.62,101.77,11.27,2.98
Ribeira Grande,92,PT,1551224736,98,38.52,-28.7,60.68,29.97
Pozo Colorado,76,PY,1551225146,88,-23.49,-58.8,71.3,11.86
Adrar,0,DZ,1551222000,29,27.87,-0.29,50.0,8.05
Harrisonville,90,US,1551225300,86,38.65,-94.35,39.99,5.82
Sorata,100,BO,1551225150,97,-15.77,-68.65,54.51,1.79
Quatre Cocos,75,MU,1551222000,83,-20.21,57.76,82.4,16.11
Harper,90,US,1551225132,56,30.3,-99.24,73.4,8.05
Arraial do Cabo,24,BR,1551225156,94,-22.97,-42.02,80.16,0.56
Salt,0,ES,1551225070,100,41.97,2.79,52.0,6.26
Fort Nelson,40,CA,1551222000,54,58.81,-122.69,28.4,2.19
Severo-Kurilsk,44,RU,1551224683,100,50.68,156.12,21.71,16.62
Bam,0,IR,1551225161,58,29.11,58.36,26.39,2.68
Jilin,0,CN,1551225162,56,43.84,126.54,17.93,2.8
Goderich,80,CA,1551224907,83,43.74,-81.71,16.0,8.01
Correntina,20,BR,1551225168,83,-13.34,-44.63,75.39,3.8
Kahului,90,US,1551225066,73,20.89,-156.47,73.99,16.11
Pauini,8,BR,1551225170,81,-7.71,-67.0,80.66,5.88
Nador,0,MA,1551223800,81,35.17,-2.93,51.8,9.62
Bilma,44,NE,1551225174,31,18.69,12.92,54.2,5.55
Tucurui,88,BR,1551225175,96,-3.77,-49.67,74.99,1.07
Darnah,88,LY,1551225177,100,32.77,22.64,58.7,29.71
Touros,20,BR,1551222000,88,-5.2,-35.46,80.6,4.7
Namatanai,80,PG,1551225179,98,-3.66,152.44,83.0,7.27
Kaitangata,20,NZ,1551224714,71,-46.28,169.85,57.26,20.54
Upernavik,44,GL,1551224722,100,72.79,-56.15,0.56,16.33
Kidal,0,ML,1551225192,31,18.44,1.41,56.04,11.86
Yendi,0,GH,1551225194,27,9.45,0.0,73.68,5.82
Vardo,40,US,1551225184,39,39.62,-77.74,44.6,8.05
Buchanan,20,LR,1551222000,94,5.88,-10.05,77.0,7.61
Oksfjord,92,NO,1551225009,92,70.24,22.35,28.4,6.93
Westport,68,IE,1551225124,75,53.8,-9.52,48.99,3.0
Nhulunbuy,40,AU,1551222000,74,-12.18,136.78,86.0,6.93
Iqaluit,75,CA,1551225164,84,63.75,-68.52,-2.01,4.7
Santa Rosa,0,AR,1551225207,62,-36.62,-64.29,59.91,3.02
Hasaki,75,JP,1551224975,45,35.73,140.83,45.0,9.17
Mahebourg,75,MU,1551224641,83,-20.41,57.7,82.4,16.11
Hirson,0,FR,1551225102,57,49.92,4.08,48.2,3.36
Itarema,48,BR,1551224750,94,-2.92,-39.92,77.69,5.7
Astana,90,KZ,1551222000,92,51.13,71.43,17.6,13.42
Indio,1,US,1551225004,24,33.72,-116.22,71.6,4.7
Aschersleben,0,DE,1551225116,60,51.76,11.46,44.01,3.36
Hare Bay,90,CA,1551222000,79,48.86,-53.99,23.0,19.46
Turukhansk,76,RU,1551225218,80,65.8,87.96,14.69,22.37
Maragogi,92,BR,1551225219,91,-9.01,-35.22,79.44,7.49
Codrington,80,AU,1551225046,64,-28.95,153.24,78.8,3.58
Nogliki,32,RU,1551225221,97,51.8,143.14,16.26,17.11
Kudat,75,MY,1551222000,74,6.89,116.84,78.8,6.93
Anahuac,90,US,1551225210,100,29.77,-94.68,63.0,9.17
Narsaq,0,GL,1551221400,58,60.91,-46.05,24.8,1.12
Baijiantan,48,CN,1551225231,69,45.63,85.18,10.91,2.8
Lavrentiya,0,RU,1551224409,86,65.58,-170.99,29.0,19.69
Vila Franca do Campo,40,PT,1551225193,62,37.72,-25.43,57.2,18.34
Motygino,68,RU,1551225236,85,58.18,94.69,17.39,3.47
Williamstown,0,AU,1551225039,47,-34.67,138.89,89.01,11.41
Briancon,0,FR,1551225015,56,44.9,6.65,46.99,1.99
Ozernovskiy,68,RU,1551225239,88,51.5,156.52,20.0,12.75
Pirovskoye,80,RU,1551225240,83,57.63,92.27,18.06,4.47
Robertsport,32,LR,1551225242,100,6.75,-11.37,81.02,10.29
Roald,44,NO,1551225007,75,62.58,6.12,46.4,17.22
Hofn,88,IS,1551224648,92,64.25,-15.21,42.32,24.34
Valky,90,UA,1551222000,86,49.83,35.6,33.8,8.95
Meulaboh,24,ID,1551225246,100,4.14,96.13,78.68,1.57
Bathsheba,40,BB,1551222000,69,13.22,-59.52,78.8,16.11
Shelburne,40,CA,1551225189,78,44.08,-80.2,16.0,3.36
Kongolo,76,CD,1551225250,93,-5.39,27.0,72.51,1.79
Zempoala,0,MX,1551225251,42,20.09,-98.0,66.26,2.53
Cabo San Lucas,5,MX,1551224814,56,22.89,-109.91,75.0,6.93
Los Llanos de Aridane,24,ES,1551223800,77,28.66,-17.92,62.6,3.36
Cherskiy,80,RU,1551225255,81,68.75,161.3,-5.52,2.35
Pacific Grove,90,US,1551224907,51,36.62,-121.92,62.6,5.82
Hammerfest,90,NO,1551221400,92,70.66,23.68,28.4,16.11
Hambantota,68,LK,1551225259,100,6.12,81.12,77.91,5.37
Angoche,0,MZ,1551225260,100,-16.23,39.91,81.06,3.47
Polson,1,US,1551225243,43,47.69,-114.16,17.01,4.7
Tuatapere,92,NZ,1551225006,76,-46.13,167.69,55.0,11.01
Cookeville,1,US,1551225003,61,36.16,-85.5,59.0,2.53
Acobamba,92,PE,1551225266,87,-11.35,-75.66,47.81,1.52
Geraldton,75,CA,1551222000,49,49.72,-86.95,3.2,5.82
Chingirlau,88,KZ,1551225269,89,51.09,54.08,22.38,8.12
Nizhneangarsk,76,RU,1551225270,80,55.78,109.57,11.49,3.2
Vung Tau,56,VN,1551225271,93,10.35,107.08,79.71,22.21
Shingu,0,JP,1551222000,39,33.72,135.99,44.6,10.29
Anicuns,36,BR,1551225274,91,-16.46,-49.96,73.19,4.54
Ndjole,88,GA,1551225275,97,-0.18,10.76,73.41,3.02
Mackenzie,1,CA,1551222000,45,55.34,-123.09,23.0,5.82
Gamba,36,CN,1551225277,51,28.28,88.52,-11.69,3.36
Hermitage,90,US,1551225138,68,41.23,-80.45,27.0,8.05
Svetlogorsk,75,RU,1551222000,78,53.14,59.15,8.6,3.02
Fukue,75,JP,1551225245,52,35.03,136.69,48.0,11.41
Mae Sot,20,MM,1551225204,77,16.71,98.57,75.99,2.86
Cap Malheureux,75,MU,1551224641,83,-19.98,57.61,82.4,16.11
Kodiak,90,US,1551225222,93,39.95,-94.76,34.0,6.93
Kedrovyy,68,RU,1551222000,85,56.17,91.82,10.4,6.11
High Prairie,12,CA,1551225288,61,55.43,-116.48,14.91,7.23
Fortuna,0,ES,1551225275,56,38.18,-1.13,51.01,2.24
Lima,0,PE,1551225005,69,-12.06,-77.04,78.8,11.41
Xiaoshi,92,CN,1551225293,97,30.59,116.63,40.79,5.1
Chokurdakh,64,RU,1551225294,34,70.62,147.9,-23.34,7.72
Guanare,24,VE,1551225296,58,9.04,-69.74,82.01,12.37
Tabou,0,CI,1551225297,94,4.42,-7.36,83.72,11.81
Tabuk,0,PH,1551225298,83,17.41,121.44,63.56,2.01
Saldanha,0,PT,1551225300,78,41.42,-6.55,37.46,4.59
Jalu,0,LY,1551225302,73,29.03,21.55,48.93,10.58
Ukiah,90,US,1551225297,87,39.15,-123.21,55.99,12.75
Bowen,40,AU,1551224893,74,-20.01,148.25,86.0,13.87
Japura,92,ID,1551225305,98,-0.42,102.29,72.33,2.57
Mabaruma,56,GY,1551225307,79,8.2,-59.78,78.86,8.84
Nidzica,0,PL,1551225213,88,53.36,20.43,30.03,9.91
Jimo,75,CN,1551222000,60,36.39,120.46,41.0,2.24
Saint George,75,GR,1551221400,65,39.45,22.34,44.6,4.7
Cururupu,92,BR,1551225312,93,-1.82,-44.87,77.51,4.54
Plyussa,0,RU,1551225313,89,58.42,29.37,20.76,2.46
Aklavik,75,CA,1551222000,73,68.22,-135.01,21.2,3.36
Taltal,0,CL,1551225315,77,-25.41,-70.49,62.88,2.57
Areosa,0,PT,1551225103,71,41.72,-8.86,61.0,4.7
Aberdeen,90,US,1551225316,64,45.47,-98.49,3.0,5.82
Wilmington,90,US,1551225316,50,39.75,-75.55,37.99,9.17
Antsohihy,0,MG,1551225320,99,-14.88,47.99,71.88,4.7
Beni Mazar,36,EG,1551225322,69,28.5,30.8,52.49,8.72
Trincomalee,80,LK,1551225323,92,8.58,81.23,75.66,3.76
Rincon,1,US,1551225139,63,32.3,-81.24,68.0,4.7
Cockburn Town,88,TC,1551225305,98,21.46,-71.14,77.6,21.21
Melfort,1,CA,1551222000,59,52.87,-104.61,3.2,17.22
Tignere,48,CM,1551225328,67,7.37,12.65,65.49,7.05
Albania,68,CO,1551225331,97,5.76,-73.91,63.38,1.45
Lock Haven,1,US,1551225318,54,41.14,-77.45,32.0,8.05
Steubenville,90,US,1551225218,68,40.37,-80.63,32.0,6.93
Zapadnaya Dvina,24,RU,1551225335,84,56.26,32.09,22.79,10.29
Souillac,0,FR,1551225248,87,45.6,-0.6,50.0,3.36
Ponta do Sol,48,BR,1551225337,91,-20.63,-46.0,70.94,2.53
Sao Joao da Barra,0,BR,1551222000,83,-21.64,-41.05,80.6,2.24
Manokwari,68,ID,1551225341,100,-0.87,134.08,79.44,4.76
Dingle,0,PH,1551225342,70,11.0,122.67,74.94,12.53
Amga,64,RU,1551225343,66,60.89,131.98,1.82,4.09
Chirongui,0,YT,1551223800,88,-12.93,45.15,80.6,5.82
Fairbanks,1,US,1551225341,78,64.84,-147.72,30.0,2.24
Kichera,76,RU,1551225348,80,55.93,110.1,11.49,3.2
Clyde River,40,CA,1551222000,74,70.47,-68.59,-23.81,5.82
Qandala,0,SO,1551225351,75,11.47,49.87,60.63,2.08
Komatipoort,0,MZ,1551225352,72,-25.43,31.96,71.57,3.2
Ancud,0,CL,1551225353,68,-41.87,-73.83,59.06,6.89
Isangel,76,VU,1551225356,100,-19.55,169.27,77.73,15.1
Opuwo,0,NA,1551225357,69,-18.06,13.84,66.21,3.69
Porto Novo,40,BR,1551222000,88,-23.68,-45.44,71.6,4.7
Kruisfontein,0,ZA,1551225360,79,-34.0,24.73,60.86,16.11
Bethel,75,US,1551221760,96,60.79,-161.76,37.4,10.29
Vestmannaeyjar,92,IS,1551225364,90,63.44,-20.27,42.99,18.52
Phuthaditjhaba,0,ZA,1551225365,77,-28.53,28.82,45.69,3.02
Brewster,1,US,1551225352,25,41.76,-70.08,27.0,11.41
Carnarvon,0,ZA,1551225367,53,-30.97,22.13,55.82,7.72
Mnogovershinnyy,0,RU,1551225370,64,53.94,139.92,18.02,9.06
Erenhot,0,CN,1551225371,76,43.65,111.97,12.39,8.23
Khani,90,GE,1551222000,100,41.96,42.96,39.2,3.36
Sharjah,0,AE,1551222000,72,25.36,55.39,64.4,6.93
Nara,75,JP,1551225313,65,34.68,135.8,44.6,3.36
Prykolotne,88,UA,1551225376,95,50.16,37.35,31.34,10.58
Takestan,0,IR,1551222000,45,36.07,49.69,42.8,6.93
Greenwood,0,US,1551224707,14,32.03,-101.9,78.8,10.29
Asyut,0,EG,1551222000,54,27.18,31.19,57.2,12.75
Mar del Plata,0,AR,1551225383,37,-46.43,-67.52,67.43,18.57
Namanga,0,KE,1551225384,69,-2.55,36.79,61.71,5.7
Tumpat,75,MY,1551222000,74,6.2,102.17,80.6,8.05
Tianpeng,100,CN,1551225388,100,28.88,112.34,43.85,13.94
Minab,0,IR,1551222000,77,27.15,57.07,66.2,2.24
Tezu,76,IN,1551225390,97,27.93,96.16,47.13,1.74
Taft,80,PH,1551225394,92,11.9,125.42,76.74,10.02
Henties Bay,0,NA,1551222131,87,-22.12,14.28,68.0,1.01
Honiara,8,SB,1551225397,65,-9.43,159.96,85.88,3.09
Gallup,1,US,1551221580,29,35.53,-108.74,51.8,3.36
Mumford,48,GH,1551225399,90,5.26,-0.76,80.3,8.61
Clarence Town,20,AU,1551225206,60,-32.59,151.78,81.0,8.05
Winnipeg,75,CA,1551225276,59,49.88,-97.17,3.0,14.99
College,1,US,1551225364,78,64.86,-147.8,30.0,2.24
Ewa Beach,40,US,1551225057,64,21.32,-158.01,80.6,11.41
Amapa,20,HN,1551222000,61,15.09,-87.97,82.4,17.22
Ostersund,48,SE,1551225400,70,63.18,14.64,42.8,20.8
Humaita,90,AR,1551222000,87,-24.93,-65.37,66.2,4.7
Lyangasovo,92,RU,1551225415,94,58.52,49.45,25.67,12.3
Guerrero Negro,8,MX,1551225416,51,27.97,-114.04,67.16,9.4
York,0,GB,1551225124,66,53.96,-1.08,48.99,2.24
Redmond,40,US,1551225198,30,47.67,-122.12,44.01,14.99
Ilulissat,20,GL,1551221400,84,69.22,-51.1,-0.41,4.7
Faanui,0,PF,1551225427,100,-16.48,-151.75,83.63,3.58
Enterprise,40,US,1551225300,82,31.32,-85.86,69.8,4.7
Jizan,0,SA,1551222000,65,16.89,42.56,82.4,5.82
Alekseyevsk,68,RU,1551225431,76,57.84,108.35,19.59,6.55
Beringovskiy,80,RU,1551225432,89,63.05,179.32,30.21,27.07
Mehamn,80,NO,1551225433,95,71.03,27.85,28.41,3.36
Dhidhdhoo,0,MV,1551225435,100,6.88,73.1,81.24,6.78
Rocha,0,UY,1551225436,64,-34.48,-54.34,54.51,6.26
Burns Lake,0,CA,1551225425,51,54.23,-125.76,23.73,2.98
Itarana,0,BR,1551225438,60,-19.87,-40.88,79.76,6.33
Lunenburg,1,US,1551225436,34,42.59,-71.72,21.99,6.93
Hobyo,12,SO,1551225442,90,5.35,48.53,75.44,14.16
Vanimo,64,PG,1551225443,100,-2.67,141.3,81.74,5.32
Julfa,90,AZ,1551223800,93,38.95,45.63,39.2,6.93
Nantucket,1,US,1551225349,25,41.28,-70.1,28.4,11.41
Berberati,36,CF,1551225448,95,4.26,15.79,68.78,2.75
Prince Albert,90,CA,1551222000,50,53.2,-105.75,5.0,14.99
Gizo,75,IL,1551225403,82,31.8,34.94,57.2,10.29
Chipinge,0,ZW,1551225452,90,-20.19,32.62,69.81,2.75
Popondetta,20,PG,1551225453,78,-8.77,148.24,77.87,2.35
Lampa,0,CL,1551225428,26,-33.29,-70.87,80.6,18.34
Presque Isle,90,US,1551225203,59,46.68,-68.02,3.2,20.8
Mareeba,100,AU,1551225256,74,-16.99,145.42,80.6,10.29
Caravelas,8,BR,1551225459,100,-17.73,-39.27,83.99,18.34
Ferme-Neuve,24,CA,1551225460,44,46.7,-75.45,-0.84,8.61
Santa Marta,40,CO,1551222000,48,11.24,-74.21,87.8,23.04
Ketchikan,1,US,1551221760,52,55.34,-131.65,44.6,18.34
Jarocin,0,PL,1551225421,83,51.97,17.5,43.0,3.36
Raudeberg,92,NO,1551225306,93,61.99,5.14,46.0,10.29
Aksu,90,KZ,1551222000,86,52.04,76.93,26.6,17.9
At-Bashi,20,KG,1551225468,50,41.17,75.81,-9.44,2.46
Waipawa,0,NZ,1551225469,48,-39.94,176.59,69.81,11.74
Ryotsu,75,JP,1551222000,64,38.08,138.43,39.2,3.36
Kavaratti,0,IN,1551225472,100,10.57,72.64,81.56,10.25
Kalmunai,48,LK,1551225473,97,7.42,81.82,72.92,2.35
Lichinga,8,MZ,1551225474,93,-13.3,35.25,63.11,2.53
Jinxiang,64,CN,1551225480,77,35.07,116.31,32.19,2.86
Puerto Leguizamo,0,CO,1551225482,28,-0.19,-74.78,91.59,3.98
Palmer,0,AU,1551225408,47,-34.85,139.16,89.01,11.41
Sao Benedito do Rio Preto,92,BR,1551225485,96,-3.33,-43.53,73.59,3.31
Nanganga,88,TZ,1551225486,95,-10.41,39.17,74.36,2.46
Orodara,0,BF,1551222000,14,10.98,-4.92,77.0,8.05
Chapais,75,CA,1551224820,76,49.78,-74.86,-11.21,6.93
Mana,75,RS,1551223800,52,43.52,20.24,44.6,4.7
Karratha,0,AU,1551225491,78,-20.74,116.85,81.74,4.81
Elizabeth City,1,US,1551225218,76,36.3,-76.22,52.0,6.6
Thinadhoo,48,MV,1551225494,100,0.53,72.93,81.11,11.07
Borkenes,92,NO,1551225000,80,68.77,16.17,41.0,16.11
Arman,32,RU,1551225496,56,59.7,150.17,4.56,8.39
Seoul,40,KR,1551223800,59,37.57,126.98,39.2,1.12
Jinchang,64,CN,1551225499,49,38.52,102.19,3.98,2.53
Sawtell,90,AU,1551225198,61,-30.38,153.1,77.0,3.36
Pulandian,40,CN,1551223800,32,39.4,121.96,41.0,2.24
Moerai,88,PF,1551225502,100,-22.43,-151.33,77.96,10.58
Paka,0,HR,1551223800,64,45.29,18.06,39.2,9.17
Port Blair,0,IN,1551225505,98,11.67,92.75,83.45,10.4
Jiazi,90,CN,1551222000,100,19.61,110.49,69.8,4.47
Ostrovnoy,36,RU,1551225507,86,68.05,39.51,18.24,23.38
Poum,0,MK,1551225508,82,41.28,20.71,24.86,3.76
Panama City,90,US,1551225500,82,30.16,-85.65,64.99,3.36
Alice Springs,0,AU,1551222000,19,-23.7,133.88,86.0,4.59
Telde,0,ES,1551225337,77,27.99,-15.42,64.0,11.41
Mendi,0,ET,1551225513,64,9.8,35.1,58.74,2.46
Ogbomosho,8,NG,1551225515,95,8.13,4.25,71.57,6.82
Lafia,8,NG,1551225516,91,8.5,8.51,71.21,3.31
Sherghati,12,IN,1551225517,89,24.57,84.8,62.61,9.57
Ambulu,0,ID,1551225518,100,-8.35,113.61,79.85,3.2
